TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
1.0,300000.0,203715.49,18.0,40.0,1,1.0,12.0,12.0,839017.88,454000.0,2.8,1,0,1,1.5133333333333334
1.0,300000.0,229145.08,12.0,59.0,0,0.0,15.0,15.0,1840189.9,300000.0,6.13,1,0,0,1.0
1.0,150000.0,77115.96,3.0,38.0,1,2.0,10.0,10.0,327239.52,380000.0,2.18,1,0,1,2.533333333333333
1.0,150000.0,58933.03,6.0,39.0,1,3.0,19.0,9.0,265297.42,212000.0,1.77,1,0,1,1.4133333333333333
1.0,160000.0,160000.0,6.0,32.0,0,3.0,10.0,10.0,432869.63,110000.0,2.71,1,0,0,0.6875
1.0,100000.0,64243.48,4.0,36.0,1,2.0,6.0,6.0,111616.58,150000.0,1.12,0,1,1,1.5
0.0,70000.0,11045.88,8.0,46.0,1,1.0,41.0,10.0,136107.93,100000.0,1.94,0,1,0,1.4285714285714286
1.0,50000.0,46043.18,3.0,30.0,0,0.0,29.0,7.0,53127.76,35000.0,1.06,1,0,0,0.7
1.0,50000.0,21524.57,3.0,43.0,0,2.0,5.0,5.0,115615.45,70000.0,2.31,0,1,1,1.4
1.0,150000.0,93207.52,4.0,49.0,0,3.0,22.0,14.0,185903.32,150000.0,1.24,1,0,1,1.0
1.0,200000.0,200000.0,3.0,33.0,0,1.0,14.0,14.0,366399.82,390000.0,1.83,1,0,0,1.95
1.0,114394.29,114394.29,6.0,45.0,0,5.0,20.0,17.0,615790.62,1200000.0,5.38,0,1,1,10.490034074253183
1.0,300000.0,300000.0,6.0,34.0,1,2.0,10.0,5.0,365849.8,24050.0,1.22,1,0,1,0.08016666666666666
1.0,160000.0,50523.8,6.0,55.0,0,6.0,10.0,20.0,589901.8,200000.0,3.69,1,0,1,1.25
1.0,91250.55,28814.59,6.0,43.0,0,4.0,12.0,18.0,390438.84,324000.0,4.28,0,1,1,3.5506635302472147
1.0,300000.0,300000.0,7.0,45.0,1,2.0,6.0,16.0,722944.89,70000.0,2.41,1,0,1,0.23333333333333334
1.0,150000.0,115082.51,3.0,25.0,1,1.0,25.0,5.0,261424.95,70325.0,1.74,1,0,0,0.4688333333333333
